date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:22	154715/154715	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Sep%202024%2009:32:24%20GMT	https://doj.gov.in/	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/index.html	(from )
15:02:23	321/321	---M--	404	error ('Not%20Found')	text/html	etag:%2266a8293f-141%22	https://doj.gov.in/xmlrpc.php	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/xmlrpc.php	(from https://doj.gov.in/)
15:02:23	4118/4118	---M-Z	200	added ('OK')	text/css	etag:%221016-62041196608dc-gzip%22	https://doj.gov.in/wp-content/themes/sdo-theme/css/print.css	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-content/themes/sdo-theme/css/print.css	(from https://doj.gov.in/)
15:02:23	112419/112419	---M-Z	200	added ('OK')	text/css	etag:%221b723-62041196df820-gzip%22	https://doj.gov.in/wp-includes/css/dist/block-library/style.min.css?ver=6.6.1	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-includes/css/dist/block-library/style.minb6a4.css	(from https://doj.gov.in/)
15:02:23	8495/8495	---M-Z	200	added ('OK')	text/css	etag:%22212f-62041195e5818-gzip%22	https://doj.gov.in/wp-content/plugins/common_utility/css/extra.features.css?ver=1.1	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-content/plugins/common_utility/css/extra.features4963.css	(from https://doj.gov.in/)
15:02:24	1920/1920	---M-Z	200	added ('OK')	text/css	etag:%22780-62041195ef458-gzip%22	https://doj.gov.in/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3.2	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-content/plugins/contact-form-7/includes/css/styles9dff.css	(from https://doj.gov.in/)
15:02:24	4179/4179	---M-Z	200	added ('OK')	text/css	etag:%221053-6204119631ada-gzip%22	https://doj.gov.in/wp-content/plugins/parichay-sso//css/login.css?ver=1.1	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-content/plugins/parichay-sso/css/login4963.css	(from https://doj.gov.in/)
15:02:25	1624838/1624838	---MCZ	200	added ('OK')	text/css	etag:%2218cb06-62041196608dc-gzip%22	https://doj.gov.in/wp-content/themes/sdo-theme/css/base.css?ver=6.6.1	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-content/themes/sdo-theme/css/baseb6a4.css	(from https://doj.gov.in/)
15:02:25	36591/36591	---M-Z	200	added ('OK')	text/css	etag:%228eef-62041195deab8-gzip%22	https://doj.gov.in/wp-content/plugins/awaas-metaboxes/assets/css/jquery.ui.datepicker.css?ver=1.0	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-content/plugins/awaas-metaboxes/assets/css/jquery.ui.datepicker5152.css	(from https://doj.gov.in/)
15:02:25	13246/13246	---M-Z	200	added ('OK')	text/css	etag:%2233be-62041196608dc-gzip%22	https://doj.gov.in/wp-content/themes/sdo-theme/css/addons/sliderhelper.css?ver=6.6.1	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-content/themes/sdo-theme/css/addons/sliderhelperb6a4.css	(from https://doj.gov.in/)
15:02:26	12378/12378	---M-Z	200	added ('OK')	text/css	etag:%22305a-620411965f93c-gzip%22	https://doj.gov.in/wp-content/themes/sdo-theme/style.css?ver=6.6.1	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-content/themes/sdo-theme/styleb6a4.css	(from https://doj.gov.in/)
15:02:26	462702/462702	---M-Z	200	added ('OK')	text/css	etag:%2270f6e-6204119607af9-gzip%22	https://doj.gov.in/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.11.0	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-content/plugins/js_composer/assets/css/js_composer.min9c09.css	(from https://doj.gov.in/)
15:02:26	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%229226-62041195ddb18-gzip%22	https://doj.gov.in/wp-content/plugins/awaas-accessibility/css/font-awesome.css?ver=6.6.1	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-content/plugins/awaas-accessibility/css/font-awesomeb6a4.css	(from https://doj.gov.in/)
15:02:26	87443/87443	---M-Z	200	added ('OK')	application/javascript	etag:%2215593-620411966d3fc-gzip%22	https://doj.gov.in/wp-content/themes/sdo-theme/js/jquery.min.js?ver=3.6.4	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-content/themes/sdo-theme/js/jquery.min5aed.js	(from https://doj.gov.in/)
15:02:27	13613/13613	---M-Z	200	added ('OK')	application/javascript	etag:%22352d-620411966d3fc-gzip%22	https://doj.gov.in/wp-content/themes/sdo-theme/js/jquery-migrate.min.js?ver=3.4.1	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-content/themes/sdo-theme/js/jquery-migrate.min5589.js	(from https://doj.gov.in/)
15:02:27	10399/10399	---M-Z	200	added ('OK')	application/javascript	etag:%22289f-62041195deab8-gzip%22	https://doj.gov.in/wp-content/plugins/awaas-accessibility/js/external.js?ver=6.6.1	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-content/plugins/awaas-accessibility/js/externalb6a4.js	(from https://doj.gov.in/)
15:02:27	5102/5102	---M-Z	200	added ('OK')	application/javascript	etag:%2213ee-62041195deab8-gzip%22	https://doj.gov.in/wp-content/plugins/awaas-accessibility/js/accessibility.js?ver=6.6.1	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-content/plugins/awaas-accessibility/js/accessibilityb6a4.js	(from https://doj.gov.in/)
